id,overall_acc,kappa
8/1,0.9700374531835206,
9/1,0.8734693877551021,
10/1,0.8818897637795275,
11/1,0.844,
102/1,1.0,
102/3,0.9732824427480916,
102/4,0.84,
103/1,0.9375,
104/1,0.9096774193548387,
105/1,1.0,
106/1,0.7107692307692308,
107/1,0.9321266968325792,
107/2,0.9575289575289575,
107/3,0.7429577464788732,
107/4,0.991869918699187,
108/2,0.7792207792207793,
109/1,0.935,
110/1,0.8215384615384616,
110/2,0.95,
110/4,1.0,
111/2,0.9583333333333334,
111/3,1.0,
111/4,0.8581560283687943,
112/2,0.9121338912133892,
115/1,1.0,
116/1,1.0,
119/1,1.0,
120/1,0.9721115537848606,
120/2,0.947136563876652,
120/4,0.8823529411764706,
121/1,0.8686868686868687,
123/1,0.7449664429530201,
123/2,0.7924528301886793,
123/3,0.9545454545454546,
123/4,0.9538461538461538,
124/3,1.0,
124/4,0.9690721649484536,
125/1,0.9745762711864406,
125/2,0.8734177215189873,
125/3,0.8941176470588236,
125/4,0.5992907801418439,
128/1,0.9839357429718876,
128/2,0.9974293059125964,
128/3,0.8821548821548821,
128/4,0.8908450704225352,
130/1,0.9846153846153847,
130/2,0.881578947368421,
130/3,0.6113074204946997,
130/4,0.8102189781021898,
132/3,0.9285714285714286,
132/4,0.9438202247191011,
133/1,0.884,
133/3,0.9775280898876404,
134/1,0.9922779922779923,
136/1,0.9927536231884058,
136/2,0.9843137254901961,
136/3,0.8043478260869565,
136/4,0.9961832061068703,
138/3,1.0,
138/4,0.9880239520958084,
139/1,0.9726027397260274,
139/2,1.0,
139/3,0.9676258992805755,
140/1,1.0,
141/2,0.995433789954338,
141/3,0.9925093632958801,
141/4,1.0,
145/2,0.6164874551971327,
145/3,0.4935897435897436,
145/4,0.9586466165413534,
148/1,0.8076923076923077,
148/2,0.9063670411985019,
148/3,0.608843537414966,
148/4,0.8169014084507042,
149/1,0.8052631578947369,
149/2,0.8807339449541285,
149/4,0.868421052631579,
150/1,0.9551569506726457,
150/3,0.9868421052631579,
150/4,0.9651162790697675,
151/1,0.896551724137931,
151/2,0.9896907216494846,
151/3,0.9761904761904762,
151/4,1.0,
153/1,0.962962962962963,
153/2,0.8861788617886179,
153/3,0.9375,
153/4,0.860655737704918,
155/1,0.9752066115702479,
157/1,0.8269230769230769,
159/1,0.8389513108614233,
161/1,0.9568345323741008,
161/2,0.9083333333333333,
161/3,0.7279411764705883,
162/1,0.9694656488549618,
162/2,0.9592592592592593,
162/3,1.0,
162/4,0.8846153846153846,
163/2,0.9847328244274809,
163/3,0.9526315789473684,
163/4,0.9653679653679653,
164/1,1.0,
167/4,0.9295774647887324,
168/4,0.9933554817275747,
169/4,0.9821428571428571,
170/4,0.9136690647482014,
172/2,0.4655172413793104,
172/3,0.9543726235741445,
173/2,0.6076923076923078,
173/3,0.8862068965517241,
173/4,0.9763513513513513,
174/1,0.58203125,
174/2,0.9605911330049262,
174/3,0.6487455197132617,
174/4,0.9185185185185185,
175/2,0.7670250896057348,
175/3,0.7468879668049793,
176/3,0.9817518248175182,
177/3,0.7639751552795031,
177/4,0.7385159010600706,
178/3,0.6571428571428571,
179/2,0.8425196850393701,
179/3,0.9595588235294118,
179/4,0.8996539792387543,
180/2,0.9454545454545454,
181/2,0.9554140127388535,
181/3,1.0,
182/3,0.9661016949152542,
182/4,0.9689922480620154,
183/2,0.5943775100401607,
183/3,0.891213389121339,
184/2,0.9432624113475178,
184/3,1.0,
184/4,0.9780701754385965,
185/3,0.9054726368159204,
186/3,0.9456521739130435,
188/3,0.9653846153846154,
188/4,0.9722222222222222,
189/2,1.0,
